Freq,reS11,imS11,reS21,imS21,re12,im12,re22,im22
13752840000,0.0543529119234677,0.028315084569597,-0.0742779796768204,-0.797520739566929,-0.0798332362338099,-0.793157399101468,0.00828103192197245,-0.0091818793859687
13839820000,0.210277360002202,0.0439827675122815,-0.778391703443272,-0.0886202191769333,-0.776727056377927,-0.0774072649250565,-0.165849865446235,0.0314980964805369
13926800000,0.112409216544785,-0.0488701938884685,-0.259402962211629,0.752004646890339,-0.253379335587031,0.748994905026466,0.0273783043642116,0.112958690480645
14013780000,0.128108401556635,0.0602941582253674,0.689652245091748,0.38834761352284,0.684687301352089,0.388638229788,-0.091221417957317,-0.0111668713351479
14100760000,0.181849219054571,-0.0415052833330392,0.530965304850064,-0.576903258542437,0.52230174217581,-0.581732059277266,-0.0134877240476414,0.168353989652317
14187740000,0.0458284049665739,0.0324027924912643,-0.46920107711734,-0.642589445200714,-0.477559935751884,-0.630322187793456,-0.0104715228211743,0.0182273198942322
14274720000,0.217890869685907,0.0526975337072264,-0.704646564912752,0.319359154037272,-0.695266806687356,0.331120941733385,-0.0404571335619991,0.196262453817243
14361700000,0.0829252800684828,-0.0613289233922865,0.160184329394248,0.772918080996383,0.167526727446786,0.766670277877392,0.0952687472655884,0.0873583807716852
14448680000,0.129028903445616,0.109076889356798,0.779542083468784,-0.0163254682561397,0.77357012400891,-0.0285872023871401,-0.0336064606996888,0.1463458785802
14535660000,0.198179044113776,-0.0544230196906489,0.166949111697977,-0.753824204642653,0.151060846646359,-0.754820552732129,0.164977868819773,0.159256370051224
14622640000,0.0633051532373327,0.0568326324908245,-0.724395554554527,-0.305214635001677,-0.724671580142586,-0.29201640045998,0.00353446213449875,0.0568494777217889
14709620000,0.26760822103781,-0.00727272870031741,-0.437459357841058,0.616317234773485,-0.423290650193783,0.619474025506932,0.140521876039053,0.237779053260688
14796600000,0.0310289149865035,-0.0608044261489448,0.524115073593332,0.580671709817146,0.530153979791399,0.567355578728712,0.122937397248059,0.0464567440852394
14883580000,0.203661480643285,0.0932052516039339,0.646555486712224,-0.399221844275917,0.633449185714223,-0.408057698811709,0.111523775364283,0.206453121790984
14970560000,0.122452290401213,-0.139303233143963,-0.231577920436628,-0.729206589983169,-0.244891197333267,-0.720451263096468,0.222454772843308,0.0873236821440691
15057540000,0.0381600717756415,0.134687729144123,-0.759314248689994,0.108439043882152,-0.753396000481734,0.118157366917629,0.139465352905198,0.130371024332975
15144520000,0.265995762346186,-0.0748668780707857,-0.0766052021400737,0.738558962666124,-0.0583993120055427,0.734636446863431,0.295204947271676,0.118693630481668
15231500000,-0.042572953737635,0.0109525044511254,0.73727165885208,0.223232544054368,0.735861563916925,0.206402599430804,0.166258944809758,0.029689759387569
15318480000,0.275010191136358,0.0690192826044068,0.350128706242843,-0.645680900957013,0.335265639228252,-0.645670695807071,0.297881200716304,0.134976020306051
15405460000,0.0326933217126861,-0.121436875555768,-0.565778925414423,-0.508447210096515,-0.573665239996273,-0.491314548168373,0.221485360419271,-0.039709986015594
15492440000,0.171067507820858,0.180419734152132,-0.575891510549681,0.458610252173399,-0.561190030124024,0.47233743300867,0.273123155590443,0.119347043750328
15579420000,0.221146113153476,-0.17188833721272,0.286414991888179,0.670595373687636,0.305192696101358,0.658145259169948,0.335512307557356,-0.0539028724586388
15666400000,-0.0492235831996541,0.13221261546065,0.728280380712187,-0.180282566243224,0.718632814529615,-0.20041335637192,0.256187499400588,0.00867930123373762
15753380000,0.360864315314012,-0.0171423502343761,-0.0028761666574927,-0.702764183292833,-0.0192822926916131,-0.696915923837821,0.398132650395363,-0.0559680873796147
15840360000,-0.0393353816907119,-0.111700573503006,-0.733109788729659,-0.165564740758744,-0.731295388157677,-0.148031948068468,0.223215939623948,-0.144386641905526
15927340000,0.279653417402526,0.121790664687614,-0.266381442174917,0.665335582678922,-0.252301985820851,0.667283377884063,0.355514927116718,-0.0189588368356496
