Freq,res11,ims11,res21,im21,res12,im12,res22,im22
2184500000,-0.0115723112198357,0.0724480588912688,-0.850915816714594,-0.273428005934688,-0.854626582762793,-0.276838757804371,0.0363404401536913,0.0650824048181208
2271480000,0.0651272610442477,-0.0253749270688199,-0.441756219441157,0.76950818238908,-0.443984900125048,0.772359316460052,0.0831773415371157,0.0560426280882317
2358460000,-0.051413827533306,0.0464968721089039,0.65753312483023,0.580853875609481,0.658759207314598,0.584876681089859,0.0521259562150273,0.0499425607993654
2445440000,0.0964679614712195,0.0133384040623511,0.698593296672664,-0.511252381419896,0.702191827021098,-0.512123988442297,0.0940421935542799,0.076034750637607
2532420000,-0.0625523451367093,-0.00370471659042616,-0.351292001117984,-0.781130150310319,-0.351536654934852,-0.784885792858332,0.0881361246894788,0.0339994958679265
2619400000,0.0867981732257557,0.0608318731457898,-0.82452049355666,0.171121974568291,-0.828491864219058,0.170499148463536,0.100401480332593,0.0639447030538191
2706380000,-0.0346665020216153,-0.0426601663403729,-0.0104179658689693,0.836131733033867,-0.0132242480747771,0.838509921383921,0.126915864228241,0.0155743244427719
2793360000,0.0569360284144948,0.0906858024775735,0.800873120857069,0.191994629567716,0.803075396457176,0.195014551810586,0.102490149710937,0.0254683214679118
2880340000,0.0111412729077016,-0.0616600603099853,0.367174751690265,-0.736093140524422,0.370085422496867,-0.736139258738978,0.144079730847385,0.00720004853984975
2967320000,0.0162057160132491,0.0851173207412881,-0.633171561990694,-0.517730219020373,-0.63144382723937,-0.52333218854268,0.111337908338984,-0.0230039499919175
3054300000,0.0492245771342799,-0.0488553701486601,-0.650651319264067,0.501870628212933,-0.657094879755271,0.499242764172929,0.126561124906325,-0.00640362808544415
3141280000,-0.0102935907766442,0.0597605498474652,0.351630832168038,0.749141175562925,0.345958868089477,0.754388294941795,0.113986006891388,-0.0559203246987211
3228260000,0.0713849560433913,-0.0177854709205434,0.814519113720191,-0.178688641133214,0.82071836538589,-0.171698833416474,0.0921816805142619,-0.0211620742582555
3315240000,-0.0151880466595015,0.0316978817421785,-0.00314719995611891,-0.841750653670708,0.00521103995766898,-0.845897377629747,0.114075483360636,-0.0619252785741534
3402220000,0.072978800820377,0.00710138646035079,-0.82748038909383,-0.177687834789905,-0.828641509565543,-0.188241739483223,0.0602506124832283,-0.0494966613521956
3489200000,-0.00374910892787246,0.00103849583186637,-0.351809155176461,0.779181555216036,-0.361305835489457,0.778970563997144,0.101509844061835,-0.0400725258297965
3576180000,0.062103840318537,0.018870322532863,0.690186702752891,0.509763651101926,0.689282346777279,0.518196931266336,0.0600009756618153,-0.0727722063954826
3663160000,0.0129102436751332,-0.0142182682443489,0.646682908452282,-0.574064580289156,0.656173488804328,-0.570253097770295,0.0766847267613651,-0.0250506206675022
3750140000,0.0526275669336411,0.0251652493613016,-0.427864697326658,-0.753850918817565,-0.424163013846821,-0.761560701560642,0.0759093381636246,-0.0768467062235467
3837120000,0.021148763608991,-0.0279505341635326,-0.831158700760577,0.261165966891453,-0.8368785676372,0.258355090165137,0.046812316715187,-0.0358111273950372
3924100000,0.0431493138227946,0.0315816039028143,0.0845510500070937,0.86882602650631,0.0796386183931186,0.873459430271057,0.0862332629852935,-0.0630097252929843
4011080000,0.035126659680516,-0.0374781385822418,0.869654398548967,0.0997742227784882,0.873277212300961,0.105306088533578,0.0306987686036958,-0.0601516674022251
4098060000,0.0327538064463388,0.029545528648266,0.278276018744963,-0.832747887021177,0.282317263147117,-0.836007554781217,0.0848770604790902,-0.0341303953879359
4185040000,0.0572333589896127,-0.0349416709436533,-0.757187812626661,-0.444591900407449,-0.759279343190354,-0.451573621772602,0.0410906110174811,-0.0808474021451887
4272020000,0.0181979329404418,0.0100613934672384,-0.593220992248166,0.651214330472734,-0.599204037072474,0.652844274766103,0.05657500535578,-0.0167408151815581
