#  HZ   S   RI   R     50.00 
! Rohde & Schwarz Vector Network Analyzer 
! Rohde-Schwarz,ZNA43-2Port,1332450042101266,2.10
! Created: UTC 11/25/2021, 10:04:07 AM
! freq[Hz]                re:S11                  im:S11                  re:S21                  im:S21                  re:S12                  im:S12                  re:S22                  im:S22
 3.457700000000000E9    -8.772166762416692E-2   -3.289483000093639E-1    7.173678560817014E-2   -1.080571941927637E-2    6.789246824794283E-2   -1.078188488823457E-2   -9.263703864586226E-2    1.373513153521527E-1
 3.532650000000000E9    -9.738763948330566E-2    3.294939338942694E-1    3.042544088539701E-3    6.857551931564058E-2    6.842685955545028E-3    6.726996957109597E-2    1.799795495677818E-1   -5.260768666548432E-2
 3.607600000000000E9     1.859383160853480E-1   -2.594776797682311E-1   -6.301879091220257E-2   -3.692280111888812E-3   -6.414782060591905E-2    3.151110354006564E-4   -2.420331308917155E-1   -1.664903794921008E-1
 3.682550000000000E9    -2.694858544919556E-1    1.170624874573603E-1    8.389506240275461E-3   -5.969531139468775E-2    6.321245506096702E-3   -6.310956997037193E-2    1.611902240609129E-1    2.822800471411507E-1
 3.757500000000000E9     2.036551955215363E-1   -2.558305395925012E-2    5.502482227433664E-2    1.751505337986145E-2    5.443517891410787E-2    1.695405184127477E-2   -6.933444824143677E-2   -3.604300315535340E-1
 3.832450000000000E9    -1.256246722018999E-1   -1.278486199161207E-2   -3.261758429386204E-2    5.125209116673306E-2   -2.838876771995906E-2    5.098433901159483E-2   -1.016822907877279E-1    2.707335923454786E-1
 3.907400000000000E9    -2.113844683307567E-2    1.402232680314276E-2   -5.058533013106387E-2   -3.660989728624597E-2   -5.323981829086200E-2   -3.334460403439298E-2    2.343391401572016E-1   -1.125723888444949E-1
 3.982350000000000E9     7.954555867302130E-3    6.308227990907825E-2    3.525504421872267E-2   -4.835957841281504E-2    3.562772612270552E-2   -4.991879919404968E-2   -3.001314094056425E-1   -5.548044825818258E-2
 4.057300000000000E9    -1.964313873377963E-2   -1.471713792759093E-1    4.494123524620879E-2    3.803562274700271E-2    4.455992170664484E-2    3.834367549528076E-2    2.379403991206913E-1    1.834523225496688E-1
 4.132250000000000E9    -1.114327039688958E-1    1.663106671208012E-1   -4.267352333534979E-2    4.303275375368203E-2   -3.711002793848681E-2    4.283564784263615E-2   -9.522419584553610E-2   -2.850256561965548E-1
 4.207200000000000E9     1.662621617087870E-1   -6.350781367433439E-2   -3.336712521339802E-2   -4.128233557252913E-2   -3.853668967668729E-2   -3.914522432802778E-2   -9.104775589863887E-2    3.087735390166694E-1
 4.282150000000000E9    -2.649225427335309E-1   -6.358524530707770E-2    3.987847248197182E-2   -2.761164340386276E-2    4.059584959052046E-2   -2.991317180911668E-2    1.704329171314554E-1   -1.975208143722059E-1
 4.357100000000000E9     1.771438153186671E-1    2.015069616463899E-1    2.273732436842463E-2    4.097099820633836E-2    2.362586653506938E-2    4.179823397774086E-2   -2.331879790157786E-1    2.619593213627883E-2
 4.432050000000000E9    -7.764636631098025E-2   -2.605509909912481E-1   -4.222810744835195E-2    2.121087957006853E-2   -3.887564052975247E-2    1.986975359363666E-2    1.899471007798588E-1    1.872909638926595E-1
 4.507000000000000E9    -8.108381914723055E-2    2.645208250390078E-1   -1.264213468651950E-2   -3.985443316444451E-2   -1.662235744418954E-2   -3.662981817451603E-2   -9.920375074813016E-2   -2.669150548681240E-1
 4.581950000000000E9     1.818063339426787E-1   -1.186272479642966E-1    3.717424459088300E-2   -5.992651459189475E-3    3.919144204791463E-2   -7.252699488738855E-3   -3.809369967437696E-2    2.723721229140234E-1
 4.656900000000000E9    -2.268564458570499E-1   -1.231001041994556E-2    3.198200727479341E-3    3.813153154762453E-2    4.252942021738469E-3    3.903715797514429E-2    1.859948740390716E-1   -1.533790589419125E-1
 4.731850000000000E9     1.623045119210094E-1    1.410470088413195E-1   -3.522995496678611E-2    1.931368503524857E-3   -3.550497503171521E-2    8.899262387260906E-4   -2.662069385145616E-1   -1.067084318749074E-2
 4.806800000000000E9    -1.635649154749227E-2   -1.746065315685650E-1    3.254419242230114E-3   -3.431661966409564E-2   -3.399933039653963E-4   -3.229422671948604E-2    2.020892898003168E-1    2.131516365445282E-1
 4.881750000000000E9    -1.212422333986173E-1    1.207240209746898E-1    2.687572237193876E-2    5.266760565018246E-3    2.819860547894296E-2    3.993956364697934E-3   -6.883535720933073E-2   -2.829708941703913E-1
 4.956700000000000E9     2.406366694813694E-1    2.478944595990459E-2   -9.065135533416719E-3    2.314660943051549E-2   -9.052228036778423E-3    2.338141116455075E-2   -8.244641795736453E-2    3.085850229389424E-1
 5.031650000000000E9    -1.925469546150184E-1   -1.811972266663376E-1   -1.934807993673618E-2   -1.257035075065560E-2   -1.938629728048983E-2   -1.298354290538243E-2    2.534835362737188E-1   -1.852107704034832E-1
 5.106600000000000E9     1.331358839808411E-1    2.819620584393461E-1    1.657854141513217E-2   -1.677210809169190E-2    1.567497307940659E-2   -1.636766216155843E-2   -2.738810104849055E-1    5.224962999758613E-2
 5.181550000000000E9     5.901519646210469E-2   -3.061096331679576E-1    1.345013921892801E-2    2.025186621955551E-2    1.533291725112034E-2    1.864219158245139E-2    2.698828461546608E-1    1.159769669924048E-1
 5.256500000000000E9    -1.549128235894945E-1    2.233727442036135E-1   -2.112276748213730E-2    9.520272231440212E-3   -2.193305869651275E-2    1.064843464212326E-2   -1.295799634388736E-1   -1.910206204081668E-1
 5.331450000000000E9     2.939932073066809E-1   -6.158287770938662E-2   -6.823224371762028E-3   -2.373306364392428E-2   -8.334337382567834E-3   -2.328103334573505E-2    4.659302569072589E-3    2.273164724072507E-1
 5.406400000000000E9    -2.261707364465399E-1   -1.038988619786724E-1    2.357024190658816E-2   -5.115793313000532E-3    2.363895570394207E-2   -5.427853945690917E-3    1.656446168711652E-1   -1.541656358256355E-1
 5.481350000000000E9     1.658974786347032E-1    2.123282368635203E-1    1.871984625911080E-3    2.561285518886933E-2    3.109640734582037E-3    2.380092444370621E-2   -1.704935312511363E-1    5.821449075692025E-2
 5.556300000000000E9     6.059578521435261E-2   -2.439785873823529E-1   -2.570483260454639E-2   -1.393525615350064E-3   -2.664837801531497E-2   -1.298531392328393E-4    2.023647574956458E-1    5.654067536048855E-2
 5.631250000000000E9    -1.345081465283890E-1    1.627720659806262E-1    2.426525014006046E-3   -2.598313594839611E-2    1.239346279245977E-3   -2.619719615892649E-2   -1.058847016625092E-1   -1.512521526100790E-1
 5.706200000000000E9     2.404925786542751E-1   -1.262030948789153E-2    2.476680689212585E-2    4.604610718328028E-3    2.566753631588999E-2    3.502829234008055E-3    7.836591162905947E-2    1.648762381629480E-1
 5.781150000000000E9    -1.216010669247262E-1   -1.534719633209359E-1   -5.395448088238235E-3    2.489830968144149E-2   -3.832715261891185E-3    2.497696097293176E-2    4.005587001968419E-2   -1.235506081226792E-1
 5.856100000000000E9     2.858062292377640E-2    1.916842929238879E-1   -2.360876994069371E-2   -5.233278218844430E-3   -2.394658670517692E-2   -3.491898820435861E-3   -3.556120962081027E-2    5.616738231268328E-2
 5.931050000000000E9     1.783279287434166E-1   -1.613900263407933E-1    6.229131984535348E-3   -1.973064583005636E-2    5.198791284932920E-3   -2.022356683891231E-2    8.941575674574340E-2   -2.970422307739492E-2
 6.006000000000000E9    -2.310701348171420E-1    1.328745365746758E-2    1.762772885072918E-2    8.423164974259920E-3    1.795488113013105E-2    7.479946475719601E-3    1.523235375668893E-2   -2.035921229089165E-2
 6.080950000000000E9     2.238985935403617E-1    1.188088613592665E-1   -8.203660865588984E-3    1.601889254029346E-2   -7.732126886310973E-3    1.601481663785733E-2   -3.326756358708446E-2    2.541330539859097E-2
 6.155900000000000E9    -5.259029116840043E-2   -2.426957481083648E-1   -1.152862711755057E-2   -8.391946833368198E-3   -1.212731590687431E-2   -7.161489204616916E-3    1.011783094382922E-1   -4.383709578069279E-2
 6.230850000000000E9    -1.087956158612411E-1    2.013459954518388E-1    1.142103667574412E-2   -7.057076418968004E-3    1.139426751999171E-2   -7.895459279336183E-3   -3.857320128126120E-2   -3.173996942421699E-2
 6.305800000000000E9     2.421537622384579E-1   -9.689676067366006E-2    5.858908930753852E-3    1.390066370851109E-2    6.982644095273671E-3    1.379457486034983E-2    4.933579145950028E-2    7.084623570580906E-2
 6.380750000000000E9    -2.439558598384952E-1   -1.056635032739839E-1   -1.463984701145263E-2    4.530811397037086E-3   -1.437450087434751E-2    5.025270879448686E-3    3.701178419392848E-2   -1.361343499464430E-1
 6.455700000000000E9     1.137573008162489E-1    2.196836302267685E-1   -3.280789738620885E-3   -1.581868432585932E-2   -4.448720105620847E-3   -1.494751259811115E-2   -3.111450837099192E-2    5.642258847579967E-2
 6.530650000000000E9     8.407923245553177E-2   -2.689501916332860E-1    1.625220153483521E-2   -1.672167953972833E-3    1.646562916665045E-2   -3.289043486542808E-3    9.397009393173009E-2   -5.920319511170758E-3
 6.605600000000000E9    -2.693506699080367E-1    1.373195957122594E-1    6.234402423579714E-4    1.640230636332842E-2    1.202524582155077E-3    1.683717229691221E-2   -9.402498140842248E-2   -1.063766882653322E-1
 6.680550000000000E9     3.116769644644516E-1    3.591186863043511E-2   -1.611044123188216E-2    6.202702600967055E-4   -1.644976613219833E-2    1.133774255363720E-3    7.749255291212849E-2    1.135224249019922E-1
